; color codes (1000 bytes)
BYTE  13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13
BYTE  13,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7, 13
BYTE  13,  7, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 13
BYTE  13,  7, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 13
BYTE  13,  7, 14, 14, 14, 14, 14, 14, 14, 14, 14,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 13
BYTE  13,  7, 14, 14, 14, 14, 14, 14,  6, 14, 14,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2, 14,  2,  2,  2,  2,  2,  2,  2,  2, 14, 14, 14, 14, 13
BYTE  13,  7, 14, 14, 14, 14, 14,  2,  2,  6,  6,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2, 14,  2,  2, 14, 14, 14, 14, 14, 13
BYTE  13,  7, 14, 14, 14, 14, 14, 14, 14, 14, 14,  6,  6,  6,  2, 14,  2,  2,  2,  2,  2,  2,  2,  2,  2, 14, 14, 14, 14, 14,  2, 14, 14, 14, 14, 14, 14, 14, 14, 13
BYTE  13,  7, 14, 14, 14, 14, 14, 14, 14, 14,  2,  2,  2, 14,  6,  6, 14,  2,  2,  2,  2,  2,  2, 14, 14, 14, 14, 14, 14, 14, 14,  2,  2, 14, 14, 14, 14, 14, 14, 13
BYTE  13,  7, 14, 14, 14, 14, 14, 14, 14,  2,  2,  2,  2,  2,  2,  6,  6,  2,  2,  2, 14,  2,  2, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14,  2,  2, 14, 14, 14, 14, 13
